2WPmedium_1DB , shopmanager , 0480 , 154.38874680306904 , 5035 , 17720 , 181098 , 9.78475742415708621851
2WPmedium_1DB , shopmanager , 0500 , 156.66057233704294 , 4963 , 20974 , 197079 , 10.64243273002197088477
3WPmedium_1DB , author , 0020 , 34.81496062992126 , 96 , 12 , 8843 , .13570055411059595160
3WPmedium_1DB , author , 0040 , 67.56106870229007 , 128 , 22 , 17701 , .12428676345969154285
3WPmedium_1DB , author , 0060 , 94.64338235294117 , 148 , 40 , 25743 , .15538204560463038495
3WPmedium_1DB , author , 0080 , 117.72108843537416 , 194 , 45 , 34610 , .13002022536839063854
3WPmedium_1DB , author , 0100 , 143.36026936026937 , 206 , 65 , 42578 , .15266099863779416600
3WPmedium_1DB , author , 0120 , 171.5808580858086 , 222 , 73 , 51989 , .14041431841351055030
3WPmedium_1DB , author , 0140 , 162.68539325842696 , 356 , 123 , 57916 , .21237654534152911112
3WPmedium_1DB , author , 0160 , 183.98637602179838 , 504 , 116 , 67523 , .17179331487048857426
3WPmedium_1DB , author , 0180 , 191.8295739348371 , 605 , 159 , 76540 , .20773451789913770577
3WPmedium_1DB , author , 0200 , 198.51294117647058 , 792 , 157 , 84368 , .18608951261141665086
3WPmedium_1DB , author , 0220 , 211.01357466063348 , 973 , 180 , 93268 , .19299223742333919457
3WPmedium_1DB , author , 0240 , 201.28 , 1195 , 293 , 100640 , .29113672496025437201
3WPmedium_1DB , author , 0260 , 191.72450805008944 , 1494 , 289 , 107174 , .26965495362681247317
3WPmedium_1DB , author , 0280 , 194.0777027027027 , 1752 , 306 , 114894 , .26633244555851480495
3WPmedium_1DB , author , 0300 , 204.57283142389525 , 1934 , 393 , 124994 , .31441509192441237179
3WPmedium_1DB , author , 0320 , 194.40978593272172 , 2137 , 609 , 127144 , .47898445856666456930
3WPmedium_1DB , author , 0340 , 188.93767705382436 , 2417 , 713 , 133390 , .53452282779818577104
3WPmedium_1DB , author , 0360 , 184.39027431421445 , 2587 , 1022 , 147881 , .69109621925737586302
3WPmedium_1DB , author , 0380 , 186.99253731343285 , 2544 , 1887 , 150342 , 1.25513828471085924093
3WPmedium_1DB , author , 0400 , 206.59695817490496 , 2513 , 2765 , 163005 , 1.69626698567528603417
3WPmedium_1DB , author , 0420 , 206.35878787878787 , 2577 , 4395 , 170246 , 2.58155845071249838469
3WPmedium_1DB , author , 0440 , 205.4301204819277 , 2685 , 6240 , 170507 , 3.65967379638372618132
3WPmedium_1DB , author , 0460 , 226.1539393939394 , 2673 , 9047 , 186577 , 4.84893636407488597201
3WPmedium_1DB , author , 0480 , 229.15576694411416 , 2726 , 11081 , 192720 , 5.74979244499792444997
3WPmedium_1DB , author , 0500 , 235.81125439624853 , 2864 , 13137 , 201147 , 6.53104446002177511968
3WPmedium_1DB , editor , 0020 , 28.765853658536585 , 122 , 0 , 5897 , 0
3WPmedium_1DB , editor , 0040 , 56.99516908212561 , 145 , 0 , 11798 , 0
3WPmedium_1DB , editor , 0060 , 85.08653846153847 , 168 , 0 , 17698 , 0
3WPmedium_1DB , editor , 0080 , 112.35714285714286 , 178 , 0 , 23595 , 0
3WPmedium_1DB , editor , 0100 , 137.80373831775702 , 220 , 0 , 29490 , 0
3WPmedium_1DB , editor , 0120 , 161.6118721461187 , 228 , 0 , 35393 , 0
3WPmedium_1DB , editor , 0140 , 176.46153846153845 , 313 , 0 , 41292 , 0
3WPmedium_1DB , editor , 0160 , 187.07539682539684 , 492 , 7 , 47143 , .01484843985321256602
3WPmedium_1DB , editor , 0180 , 196.728624535316 , 681 , 25 , 52920 , .04724111866969009826
3WPmedium_1DB , editor , 0200 , 201.77319587628867 , 879 , 39 , 58716 , .06642141835274882485
3WPmedium_1DB , editor , 0220 , 207.43408360128618 , 1103 , 53 , 64512 , .08215525793650793650
3WPmedium_1DB , editor , 0240 , 207.7337278106509 , 1338 , 82 , 70214 , .11678582618850941407
3WPmedium_1DB , editor , 0260 , 209.79558011049724 , 1567 , 104 , 75946 , .13693940431359123587
3WPmedium_1DB , editor , 0280 , 203.68329177057356 , 1821 , 136 , 81677 , .16650954369039019552
3WPmedium_1DB , editor , 0300 , 206.30188679245282 , 1953 , 159 , 87472 , .18177245289921346259
3WPmedium_1DB , editor , 0320 , 204.94945054945055 , 2150 , 196 , 93252 , .21018315961051773688
3WPmedium_1DB , editor , 0340 , 200.9042769857434 , 2329 , 322 , 98644 , .32642634118648878796
3WPmedium_1DB , editor , 0360 , 186.77540106951872 , 2457 , 497 , 104781 , .47432263482883347171
3WPmedium_1DB , editor , 0380 , 192.29827586206898 , 2674 , 921 , 111533 , .82576457192041817220
3WPmedium_1DB , editor , 0400 , 202.86135181975737 , 2595 , 2014 , 117051 , 1.72061750860735918531
3WPmedium_1DB , editor , 0420 , 213.85191637630663 , 2683 , 3250 , 122751 , 2.64763627180226637664
3WPmedium_1DB , editor , 0440 , 219.0904347826087 , 2788 , 5204 , 125977 , 4.13091278566722496963
3WPmedium_1DB , editor , 0460 , 224.96724137931034 , 2774 , 6316 , 130481 , 4.84055149791923728358
3WPmedium_1DB , editor , 0480 , 230.40709459459458 , 2978 , 8331 , 136401 , 6.10772648294367343347
3WPmedium_1DB , editor , 0500 , 241.85398981324278 , 3053 , 10271 , 142452 , 7.21014797967034509869
3WPmedium_1DB , shopmanager , 0020 , 36.05084745762712 , 85 , 14 , 10635 , .13164080865068171133
3WPmedium_1DB , shopmanager , 0040 , 66.53870967741935 , 126 , 32 , 20627 , .15513647161487370921
3WPmedium_1DB , shopmanager , 0060 , 94.16564417177914 , 157 , 40 , 30698 , .13030164831585119551
3WPmedium_1DB , shopmanager , 0080 , 116.50143266475645 , 189 , 58 , 40659 , .14264984382301581445
3WPmedium_1DB , shopmanager , 0100 , 113.05787037037037 , 343 , 108 , 48841 , .22112569357711758563
3WPmedium_1DB , shopmanager , 0120 , 134.79043280182233 , 378 , 117 , 59173 , .19772531391006033157
3WPmedium_1DB , shopmanager , 0140 , 133.54361054766736 , 529 , 166 , 65837 , .25213785561310509288
3WPmedium_1DB , shopmanager , 0160 , 151.31663326653307 , 605 , 206 , 75507 , .27282238732832717496
3WPmedium_1DB , shopmanager , 0180 , 157.87037037037038 , 709 , 218 , 85250 , .25571847507331378299
3WPmedium_1DB , shopmanager , 0200 , 173.06099815157117 , 852 , 397 , 93626 , .42402751372482002862
3WPmedium_1DB , shopmanager , 0220 , 172.9248120300752 , 1056 , 968 , 91996 , 1.05221966172442280099
3WPmedium_1DB , shopmanager , 0240 , 172.81951219512194 , 1228 , 778 , 106284 , .73200105378043731888
3WPmedium_1DB , shopmanager , 0260 , 180.61812297734627 , 1405 , 971 , 111622 , .86990019888552435899
3WPmedium_1DB , shopmanager , 0280 , 174.76548672566372 , 1663 , 1008 , 118491 , .85069752133073397979
3WPmedium_1DB , shopmanager , 0300 , 163.48476052249637 , 1977 , 1641 , 112641 , 1.45684075958132473965
3WPmedium_1DB , shopmanager , 0320 , 175.20530726256985 , 2076 , 1665 , 125447 , 1.32725374062353025580
3WPmedium_1DB , shopmanager , 0340 , 167.1857659831122 , 2266 , 1680 , 138597 , 1.21214744907898439360
3WPmedium_1DB , shopmanager , 0360 , 167.98273878020714 , 2342 , 1872 , 145977 , 1.28239380176329147742
3WPmedium_1DB , shopmanager , 0380 , 178.25750577367205 , 2359 , 2989 , 154371 , 1.93624450188183013648
3WPmedium_1DB , shopmanager , 0400 , 176.63678696158323 , 2528 , 4824 , 151731 , 3.17931075389999406845
3WPmedium_1DB , shopmanager , 0420 , 180.13674321503132 , 2556 , 6098 , 172571 , 3.53361804706468641892
3WPmedium_1DB , shopmanager , 0440 , 176.64307692307693 , 2631 , 8276 , 172227 , 4.80528604690321494306
3WPmedium_1DB , shopmanager , 0460 , 176.84109311740892 , 2880 , 11026 , 174719 , 6.31070461712807422203
3WPmedium_1DB , shopmanager , 0480 , 188.58725182863114 , 3099 , 12962 , 180478 , 7.18203880805416726692
3WPmedium_1DB , shopmanager , 0500 , 187.5412935323383 , 2922 , 14997 , 188479 , 7.95685460979737795722
1WPlarge_1DB , author , 0020 , 33.583969465648856 , 151 , 10 , 8799 , .11364927832708262302
1WPlarge_1DB , author , 0040 , 59.07063197026022 , 208 , 34 , 15890 , .21397105097545626179
1WPlarge_1DB , author , 0060 , 76.05919003115265 , 551 , 40 , 24415 , .16383370878558263362
1WPlarge_1DB , author , 0080 , 83.287841191067 , 1075 , 56 , 33565 , .16684045881126173096
1WPlarge_1DB , author , 0100 , 81.32558139534883 , 1688 , 268 , 41964 , .63864264607759031550
1WPlarge_1DB , author , 0120 , 75.31498470948013 , 2429 , 233 , 49256 , .47303881760597693681
1WPlarge_1DB , author , 0140 , 78.74862637362638 , 2796 , 1243 , 57329 , 2.16818713042264822341
1WPlarge_1DB , author , 0160 , 77.08594657375146 , 3346 , 1308 , 66371 , 1.97074023293305811272
1WPlarge_1DB , author , 0180 , 83.48815165876778 , 3484 , 3526 , 70464 , 5.00397366030881017257
1WPlarge_1DB , author , 0200 , 88.86890951276102 , 3624 , 5326 , 76605 , 6.95254878924352196331
1WPlarge_1DB , author , 0220 , 86.196 , 4310 , 6396 , 86196 , 7.42029792565780314631
1WPlarge_1DB , author , 0240 , 95.5742067553736 , 4207 , 8795 , 93376 , 9.41890849897189856065
1WPlarge_1DB , author , 0260 , 95.16917293233082 , 4698 , 8892 , 101260 , 8.78135492790835473039
1WPlarge_1DB , author , 0280 , 96.26537785588752 , 5076 , 10323 , 109550 , 9.42309447740757644910
1WPlarge_1DB , author , 0300 , 98.80897887323944 , 5328 , 11976 , 112247 , 10.66932746532201306048
1WPlarge_1DB , author , 0320 , 107.27524752475247 , 4937 , 15154 , 108348 , 13.98641414700778971462
1WPlarge_1DB , author , 0340 , 103.44240400667779 , 5860 , 14438 , 123924 , 11.65068913204867499435
1WPlarge_1DB , author , 0360 , 111.9193109700816 , 5291 , 15550 , 123447 , 12.59649890236295738252
1WPlarge_1DB , author , 0380 , 102.85822592873389 , 6861 , 14980 , 135670 , 11.04149775189798776442
1WPlarge_1DB , author , 0400 , 110.9253499222395 , 6538 , 19449 , 142650 , 13.63406940063091482649
1WPlarge_1DB , author , 0420 , 119.64828738512949 , 6119 , 22947 , 143219 , 16.02231547490207304896
1WPlarge_1DB , author , 0440 , 114.62044926413633 , 6854 , 22333 , 147975 , 15.09241425916539956073
1WPlarge_1DB , author , 0460 , 120.81410256410257 , 6372 , 23634 , 150776 , 15.67490847349710829309
1WPlarge_1DB , author , 0480 , 119.5134281200632 , 6811 , 23593 , 151304 , 15.59311055887484798815
1WPlarge_1DB , author , 0500 , 120.50628930817611 , 7102 , 24350 , 153284 , 15.88554578429581691500
1WPlarge_1DB , editor , 0020 , 27.609756097560975 , 120 , 0 , 5660 , 0
1WPlarge_1DB , editor , 0040 , 52.16589861751152 , 234 , 0 , 11320 , 0
1WPlarge_1DB , editor , 0060 , 64.31818181818181 , 717 , 0 , 16980 , 0
1WPlarge_1DB , editor , 0080 , 67.38095238095238 , 1417 , 0 , 22640 , 0
1WPlarge_1DB , editor , 0100 , 64.75972540045767 , 2119 , 16 , 28300 , .05653710247349823321
1WPlarge_1DB , editor , 0120 , 66.96626984126983 , 2661 , 477 , 33751 , 1.41329145803087315931
1WPlarge_1DB , editor , 0140 , 70.53492647058823 , 3096 , 1259 , 38371 , 3.28112376534361887884
1WPlarge_1DB , editor , 0160 , 68.48125 , 3712 , 1442 , 43828 , 3.29013416081044081409
1WPlarge_1DB , editor , 0180 , 74.29357798165138 , 4012 , 2389 , 48588 , 4.91685189758788178150
1WPlarge_1DB , editor , 0200 , 75.85754583921016 , 4440 , 3384 , 53783 , 6.29195098823048175073
1WPlarge_1DB , editor , 0220 , 75.25531914893617 , 5103 , 3515 , 60129 , 5.84576493871509587719
1WPlarge_1DB , editor , 0240 , 77.78461538461538 , 5326 , 5192 , 65728 , 7.89922103213242453748
1WPlarge_1DB , editor , 0260 , 81.6453143534994 , 5512 , 6013 , 68827 , 8.73639705348191843317
1WPlarge_1DB , editor , 0280 , 84.08371040723982 , 5844 , 7142 , 74330 , 9.60850262343602852145
